term_localName,label,definition,usage,notes,rdf_value,rdf_type
d001,native,Not transported beyond limits of native range,,Blackburn et al. (2011) category A,native,http://www.w3.org/2004/02/skos/core#Concept
d002,captive,"Individuals in captivity or quarantine (i.e. individuals provided with conditions suitable for them, but explicit measures of containment are in place)",,Blackburn et al. (2011) category B1,captive,http://www.w3.org/2004/02/skos/core#Concept
d003,cultivated,"Individuals in cultivation (i.e. individuals provided with conditions suitable for them, but explicit measures to prevent dispersal are limited at best)",,Blackburn et al. (2011) category B2,cultivated,http://www.w3.org/2004/02/skos/core#Concept
d004,released,Individuals directly released into novel environment,,Blackburn et al. (2011) category B3,released,http://www.w3.org/2004/02/skos/core#Concept
d005,failing,"Individuals released outside of captivity or cultivation in a location, but incapable of surviving for a significant period",,Blackburn et al. (2011) category C0,failing,http://www.w3.org/2004/02/skos/core#Concept
d006,casual,"Individuals surviving outside of captivity or cultivation in a location, no reproduction",,Blackburn et al. (2011) category C1,casual,http://www.w3.org/2004/02/skos/core#Concept
d007,reproducing,"Individuals surviving outside of captivity or cultivation in a location, reproduction is occurring, but population not self-sustaining",,Blackburn et al. (2011) category C2,reproducing,http://www.w3.org/2004/02/skos/core#Concept
d008,established,"Individuals surviving outside of captivity or cultivation in a location, reproduction occurring, and population self-sustaining",,Blackburn et al. (2011) category C3,established,http://www.w3.org/2004/02/skos/core#Concept
d009,colonising,"Self-sustaining population outside of captivity or cultivation, with individuals surviving a significant distance from the original point of introduction",,Blackburn et al. (2011) category D1,colonising,http://www.w3.org/2004/02/skos/core#Concept
d010,invasive,"Self-sustaining population outside of captivity or cultivation, with individuals surviving and reproducing a significant distance from the original point of introduction",,Blackburn et al. (2011) category D2,invasive,http://www.w3.org/2004/02/skos/core#Concept
d011,widespreadInvasive,"Fully invasive species, with individuals dispersing, surviving and reproducing at multiple sites across a greater or lesser spectrum of habitats and extent of occurrence",,Blackburn et al. (2011) category E,widespreadInvasive,http://www.w3.org/2004/02/skos/core#Concept
